# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
3.721004e+03 1.281953e+02 2.688265e+00 5.282437e-01 6.486839e-02 1.727073e+00 3.679801e-01 1.001274e-04
3.834161e+03 1.283043e+02 2.719450e+00 5.289638e-01 6.328300e-02 1.753367e+00 3.737335e-01 1.031198e-04
3.950760e+03 1.284124e+02 2.750787e+00 5.297016e-01 6.169004e-02 1.779834e+00 3.794556e-01 1.057988e-04
4.070905e+03 1.285196e+02 2.782254e+00 5.304569e-01 6.007836e-02 1.806470e+00 3.851405e-01 1.084448e-04
4.194704e+03 1.286259e+02 2.813857e+00 5.312292e-01 5.845363e-02 1.833276e+00 3.907865e-01 1.112884e-04
4.322267e+03 1.287313e+02 2.845582e+00 5.320180e-01 5.681407e-02 1.860252e+00 3.963842e-01 1.143849e-04
4.453710e+03 1.288358e+02 2.877435e+00 5.328229e-01 5.516227e-02 1.887394e+00 4.019374e-01 1.176202e-04
4.589149e+03 1.289396e+02 2.909402e+00 5.336434e-01 5.349518e-02 1.914705e+00 4.074385e-01 1.206701e-04
4.728708e+03 1.290424e+02 2.941480e+00 5.344792e-01 5.181372e-02 1.942180e+00 4.128826e-01 1.238372e-04
4.872511e+03 1.291445e+02 2.973664e+00 5.353297e-01 5.011939e-02 1.969822e+00 4.182658e-01 1.269733e-04
5.020686e+03 1.292457e+02 3.005947e+00 5.361945e-01 4.841125e-02 1.997627e+00 4.235838e-01 1.301096e-04
5.173368e+03 1.293461e+02 3.038327e+00 5.370732e-01 4.669031e-02 2.025597e+00 4.288334e-01 1.334031e-04
5.330693e+03 1.294457e+02 3.070805e+00 5.379643e-01 4.496084e-02 2.053733e+00 4.340106e-01 1.367391e-04
5.492803e+03 1.295445e+02 3.103353e+00 5.388693e-01 4.321272e-02 2.082025e+00 4.391060e-01 1.400888e-04
5.659842e+03 1.296425e+02 3.135981e+00 5.397868e-01 4.145301e-02 2.110479e+00 4.441179e-01 1.438983e-04
5.831961e+03 1.297397e+02 3.168680e+00 5.407164e-01 3.967986e-02 2.139094e+00 4.490416e-01 1.472791e-04
6.009314e+03 1.298362e+02 3.202510e+00 5.416576e-01 3.896226e-02 2.167867e+00 4.538721e-01 1.507684e-04
6.192061e+03 1.299319e+02 3.239526e+00 5.426099e-01 4.135756e-02 2.196798e+00 4.586056e-01 1.547890e-04
6.380365e+03 1.300269e+02 3.276618e+00 5.435729e-01 4.376816e-02 2.225883e+00 4.632355e-01 1.584047e-04
6.574395e+03 1.301211e+02 3.313798e+00 5.445461e-01 4.620141e-02 2.255129e+00 4.677595e-01 1.617696e-04
6.774326e+03 1.302146e+02 3.351044e+00 5.455292e-01 4.865296e-02 2.284527e+00 4.721688e-01 1.657463e-04
6.980337e+03 1.303073e+02 3.388358e+00 5.465216e-01 5.112459e-02 2.314081e+00 4.764617e-01 1.695719e-04
7.192613e+03 1.303994e+02 3.425729e+00 5.475228e-01 5.361508e-02 2.343786e+00 4.806318e-01 1.732471e-04
7.411344e+03 1.304907e+02 3.463386e+00 5.487650e-01 5.612487e-02 2.373644e+00 4.846750e-01 1.773650e-04
7.636728e+03 1.305813e+02 3.500853e+00 5.497848e-01 5.865382e-02 2.403653e+00 4.885813e-01 1.809585e-04
7.868965e+03 1.306712e+02 3.538371e+00 5.508121e-01 6.120299e-02 2.433815e+00 4.923548e-01 1.855669e-04
8.108264e+03 1.307605e+02 3.575918e+00 5.518466e-01 6.377133e-02 2.464124e+00 4.959843e-01 1.909269e-04
8.354841e+03 1.308490e+02 3.613319e+00 5.528885e-01 6.635639e-02 2.494419e+00 4.994615e-01 1.940681e-04
8.608917e+03 1.309369e+02 3.650906e+00 5.539365e-01 6.896380e-02 2.525026e+00 5.027827e-01 1.974796e-04
8.870719e+03 1.310241e+02 3.688513e+00 5.549903e-01 7.158517e-02 2.555775e+00 5.059628e-01 2.002290e-04
9.140482e+03 1.311107e+02 3.726287e+00 5.560506e-01 7.423024e-02 2.586843e+00 5.089549e-01 2.081153e-04
9.418449e+03 1.311966e+02 3.763898e+00 5.571153e-01 7.689703e-02 2.617881e+00 5.117912e-01 2.130900e-04
9.704870e+03 1.312818e+02 3.801413e+00 5.581848e-01 7.957079e-02 2.649054e+00 5.143905e-01 2.132270e-04
1.000000e+04 1.313664e+02 3.838510e+00 5.592597e-01 8.227325e-02 2.680363e+00 5.163894e-01 2.240672e-04
