# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
1.813063e+03 1.117081e+02 1.213335e+00 3.239814e-01 8.651021e-02 6.601591e-01 1.426221e-01 6.212854e-05
1.868199e+03 1.119312e+02 1.236179e+00 3.265877e-01 8.589234e-02 6.766843e-01 1.469506e-01 6.438494e-05
1.925012e+03 1.121523e+02 1.259226e+00 3.291912e-01 8.523336e-02 6.934052e-01 1.513271e-01 6.881931e-05
1.983553e+03 1.123712e+02 1.282502e+00 3.317929e-01 8.454025e-02 7.103359e-01 1.557665e-01 6.692753e-05
2.043874e+03 1.125882e+02 1.305898e+00 3.343926e-01 8.379382e-02 7.274381e-01 1.601913e-01 8.179732e-05
2.106029e+03 1.128031e+02 1.329593e+00 3.369901e-01 8.304298e-02 7.447080e-01 1.647569e-01 9.495180e-05
2.170075e+03 1.130163e+02 1.357235e+00 3.395872e-01 8.193604e-02 7.659270e-01 1.695666e-01 2.179238e-04
2.236068e+03 1.132243e+02 4.287667e-01 3.421626e-01 8.398593e-02 0.000000e+00 0.000000e+00 2.618127e-03
2.304068e+03 - - - - - - -
2.374136e+03 1.136404e+02 1.435527e+00 3.473419e-01 8.216290e-02 8.185416e-01 1.853714e-01 2.109223e-03
2.446335e+03 1.138480e+02 1.452204e+00 3.499405e-01 7.880819e-02 8.346472e-01 1.884917e-01 3.160326e-04
2.520729e+03 1.140517e+02 1.475600e+00 3.524861e-01 7.675583e-02 8.530428e-01 1.930424e-01 2.729861e-04
2.597386e+03 1.142530e+02 1.468328e+00 3.550596e-01 4.372567e-02 8.715959e-01 1.977589e-01 1.879695e-04
2.676374e+03 1.144527e+02 1.481309e+00 3.576326e-01 3.053530e-02 8.904525e-01 2.025930e-01 9.620173e-05
2.757764e+03 1.146504e+02 1.527896e+00 3.602016e-01 5.058064e-02 9.095365e-01 2.074761e-01 1.012076e-04
2.841629e+03 1.148464e+02 1.576758e+00 3.627669e-01 7.273095e-02 9.287980e-01 2.123682e-01 9.361401e-05
2.928045e+03 1.150406e+02 1.602975e+00 3.653281e-01 7.198331e-02 9.482609e-01 2.173033e-01 9.945382e-05
3.017088e+03 1.152331e+02 1.628991e+00 3.678850e-01 7.082944e-02 9.679137e-01 2.222578e-01 1.051466e-04
3.108840e+03 1.154238e+02 1.655129e+00 3.704374e-01 6.961644e-02 9.877458e-01 2.272241e-01 1.053820e-04
3.203381e+03 1.156129e+02 1.681407e+00 3.729852e-01 6.833122e-02 1.007769e+00 2.322119e-01 1.100381e-04
3.300798e+03 1.158002e+02 1.707881e+00 3.755281e-01 6.706049e-02 1.027974e+00 2.372061e-01 1.124934e-04
3.401177e+03 1.159859e+02 1.734495e+00 3.780659e-01 6.573711e-02 1.048364e+00 2.422102e-01 1.176127e-04
3.504608e+03 1.161699e+02 1.761270e+00 3.805985e-01 6.439090e-02 1.068939e+00 2.472226e-01 1.189797e-04
3.611186e+03 1.163523e+02 1.788182e+00 3.831257e-01 6.301155e-02 1.089693e+00 2.522298e-01 1.221812e-04
3.721004e+03 1.165331e+02 1.815268e+00 3.856472e-01 6.161291e-02 1.110635e+00 2.572443e-01 1.285094e-04
3.834161e+03 1.167123e+02 1.842466e+00 3.881630e-01 6.017728e-02 1.131748e+00 2.622533e-01 1.246455e-04
3.950760e+03 1.168899e+02 1.869792e+00 3.906727e-01 5.871100e-02 1.153033e+00 2.672475e-01 1.283622e-04
4.070905e+03 1.170660e+02 1.897288e+00 3.931761e-01 5.722177e-02 1.174522e+00 2.722374e-01 1.314303e-04
4.194704e+03 1.172405e+02 1.924914e+00 3.956733e-01 5.571136e-02 1.196168e+00 2.772165e-01 1.451958e-04
4.322267e+03 1.174135e+02 1.952645e+00 3.981638e-01 5.418066e-02 1.217994e+00 2.821465e-01 1.603309e-04
4.453710e+03 1.175851e+02 1.980420e+00 4.006478e-01 5.256675e-02 1.239983e+00 2.870756e-01 1.468514e-04
4.589149e+03 1.177551e+02 2.008441e+00 4.031238e-01 5.096988e-02 1.262180e+00 2.920257e-01 1.410038e-04
4.728708e+03 1.179237e+02 2.036708e+00 4.055930e-01 4.947056e-02 1.284509e+00 2.969438e-01 1.911655e-04
4.872511e+03 1.180910e+02 2.064104e+00 4.080577e-01 4.764031e-02 1.306923e+00 3.013660e-01 1.176138e-04
5.020686e+03 1.182568e+02 2.092624e+00 4.105235e-01 4.586542e-02 1.329438e+00 3.061917e-01 6.054062e-04
5.173368e+03 1.184189e+02 2.128915e+00 4.129208e-01 4.704320e-02 1.354006e+00 3.121101e-01 2.835549e-03
5.330693e+03 1.185858e+02 2.149992e+00 4.154643e-01 4.411495e-02 1.371668e+00 3.137922e-01 4.953087e-03
5.492803e+03 - - - - - - -
5.659842e+03 1.188434e+02 2.377741e+00 4.208034e-01 9.203954e-02 1.481841e+00 3.330931e-01 4.996374e-02
5.831961e+03 1.190658e+02 2.474726e+00 4.227589e-01 2.679759e-01 1.446044e+00 3.379441e-01 3.078842e-06
6.009314e+03 1.192247e+02 2.291285e+00 4.250903e-01 5.916799e-02 1.467765e+00 3.359964e-01 3.265658e-03
6.192061e+03 1.193777e+02 2.298700e+00 4.274392e-01 3.624606e-02 1.494676e+00 3.393969e-01 9.424756e-04
6.380365e+03 1.195331e+02 2.327464e+00 4.298788e-01 3.841867e-02 1.516368e+00 3.424208e-01 3.784493e-04
6.574395e+03 1.196863e+02 2.363905e+00 4.322321e-01 4.158290e-02 1.541141e+00 3.476631e-01 1.286186e-03
6.774326e+03 1.198388e+02 2.396345e+00 4.346163e-01 4.415782e-02 1.565572e+00 3.519100e-01 8.894605e-05
6.980337e+03 1.199897e+02 2.431379e+00 4.369805e-01 4.714167e-02 1.590449e+00 3.563313e-01 4.757453e-04
7.192613e+03 1.201397e+02 2.464158e+00 4.393360e-01 4.984206e-02 1.614663e+00 3.598471e-01 4.699257e-04
7.411344e+03 1.202886e+02 2.497327e+00 4.416772e-01 5.238727e-02 1.639647e+00 3.633284e-01 2.877353e-04
7.636728e+03 1.204358e+02 2.532044e+00 4.440133e-01 5.545877e-02 1.664699e+00 3.675054e-01 3.675020e-04
7.868965e+03 1.205821e+02 2.565722e+00 4.463393e-01 5.824518e-02 1.689871e+00 3.710546e-01 2.120008e-04
8.108264e+03 1.207270e+02 2.599857e+00 4.486531e-01 6.129948e-02 1.715200e+00 3.744451e-01 2.583448e-04
8.354841e+03 1.208709e+02 2.634338e+00 4.509578e-01 6.429754e-02 1.740862e+00 3.779423e-01 2.783408e-04
8.608917e+03 1.210136e+02 2.668216e+00 4.532570e-01 6.716621e-02 1.766181e+00 3.813300e-01 2.819324e-04
8.870719e+03 1.211553e+02 2.701999e+00 4.555428e-01 7.014447e-02 1.791746e+00 3.842936e-01 2.719622e-04
9.140482e+03 1.212957e+02 2.737074e+00 4.578154e-01 7.328073e-02 1.817927e+00 3.877549e-01 2.956751e-04
9.418449e+03 1.214351e+02 2.770728e+00 4.600814e-01 7.622981e-02 1.844016e+00 3.901192e-01 2.822788e-04
9.704870e+03 - - - - - - -
1.000000e+04 1.217105e+02 2.839096e+00 4.645855e-01 8.242551e-02 1.896244e+00 3.956200e-01 2.210854e-04
